product_id,product_name,category_id,brand,unit_cost,list_price,launch_date,product_status
1,CrispCo Mechanical Keyboard,1,CrispCo,172.63,195.48,2024-11-27,Active
2,BoldStyle Wireless Headphones,1,BoldStyle,333.22,423.95,2024-06-10,Active
3,PeakCraft Wireless Headphones,1,PeakCraft,402.2,483.76,2022-11-21,Active
4,NimbusCraft Webcam,1,NimbusCraft,63.83,87.38,2022-02-02,Active
5,LumenLabs Mechanical Keyboard,1,LumenLabs,135.37,154.24,2025-07-25,Active
6,NimbusStyle 27-inch Monitor,1,NimbusStyle,91.55,103.94,2022-11-15,Active
7,PureLabs Smart Plug,1,PureLabs,394.26,428.29,2021-10-25,Active
8,EcoLabs Streaming Stick,1,EcoLabs,310.12,404.86,2021-11-01,Active
9,SmartLabs Wireless Mouse,1,SmartLabs,92.38,119.68,2025-02-01,Active
10,HomeStyle Noise Cancelling Earbuds,1,HomeStyle,271.08,331.25,2024-01-12,Active
11,VitalCo Wireless Headphones,1,VitalCo,89.07,100.77,2024-11-29,Active
12,HomeStyle Power Bank,1,HomeStyle,284.18,373.69,2024-07-30,Active
13,AeroCo Streaming Stick,1,AeroCo,71.12,85.13,2023-09-27,Active
14,UrbanFit Mechanical Keyboard,1,UrbanFit,409.04,446.55,2025-08-19,Clearance
15,BoldFit Portable SSD,1,BoldFit,252.37,303.6,2023-01-21,Active
16,UrbanGear Noise Cancelling Earbuds,1,UrbanGear,131.57,181.43,2023-10-22,Active
17,PrimePro Bluetooth Speaker,1,PrimePro,247.44,342.92,2025-01-03,Active
18,AeroGear Power Bank,1,AeroGear,78.99,108.74,2024-02-05,Active
19,HomeCraft Smartwatch,1,HomeCraft,270.62,284.86,2025-02-24,Discontinued
20,UrbanCraft Bluetooth Speaker,1,UrbanCraft,406.76,555.66,2023-12-01,Active
21,ZenFit Tablet,1,ZenFit,265.67,384.19,2024-06-20,Active
22,NimbusLabs Smartwatch,1,NimbusLabs,79.73,97.15,2021-08-12,Active
23,PeakTech Tablet,1,PeakTech,218.79,257.01,2022-05-27,Active
24,UrbanPro Tablet,1,UrbanPro,256.41,340.93,2022-09-02,Active
25,HomeCo Bluetooth Speaker,1,HomeCo,71.93,94.84,2021-10-05,Clearance
26,SwiftTech Webcam,1,SwiftTech,114.63,155.5,2022-06-04,Active
27,HomeCo Streaming Stick,1,HomeCo,426.59,515.97,2021-11-07,Active
28,HomeCo Wireless Mouse,1,HomeCo,79.57,83.76,2022-08-15,Active
29,ZenStyle Wireless Headphones,1,ZenStyle,91.78,213.28,2024-03-03,Active
30,AeroTech Wireless Mouse,1,AeroTech,155.33,207.69,2022-12-30,Active
31,VitalWorks Streaming Stick,1,VitalWorks,54.49,83.56,2023-01-07,Active
32,ZenWorks Bluetooth Speaker,1,ZenWorks,232.08,244.29,2022-04-28,Active
33,AeroFit Smartwatch,1,AeroFit,264.58,346.14,2022-07-28,Active
34,SwiftCo Portable SSD,1,SwiftCo,113.97,127.22,2025-06-22,Active
35,VitalCraft Laptop Stand,1,VitalCraft,362.2,407.72,2024-03-22,Active
36,BoldCo Laptop Stand,1,BoldCo,177.26,225.84,2024-01-21,Active
37,HomeTech Power Bank,1,HomeTech,179.42,192.23,2022-02-26,Active
38,NovaPro Tablet,1,NovaPro,382.42,481.49,2024-07-29,Active
39,ZenFit Wireless Headphones,1,ZenFit,196.41,303.45,2022-02-14,Discontinued
40,CrispLabs Tablet,1,CrispLabs,125.84,135.76,2023-01-22,Active
41,NovaTech Wireless Headphones,1,NovaTech,89.99,108.95,2025-09-14,Active
42,BoldLabs Portable SSD,1,BoldLabs,105.46,118.85,2024-03-10,Active
43,PrimeGear Vacuum Cleaner,2,PrimeGear,19.72,32.35,2023-10-30,Active
44,VitalFit Stand Mixer,2,VitalFit,75.44,84.19,2024-05-19,Active
45,LumenLabs Cutting Board,2,LumenLabs,24.68,35.76,2025-01-25,Active
46,PurePro Knife Set,2,PurePro,22.39,31.62,2024-10-11,Active
47,HomeWorks Toaster Oven,2,HomeWorks,92.61,138.53,2022-05-29,Active
48,SwiftWorks Air Fryer,2,SwiftWorks,42.51,67.6,2021-07-21,Active
49,PeakTech Knife Set,2,PeakTech,59.97,141.19,2022-10-13,Active
50,EcoLabs Cutting Board,2,EcoLabs,41.64,57.76,2022-07-29,Clearance
51,SwiftPro Blender,2,SwiftPro,94.61,104.23,2022-04-30,Active
52,BoldLabs Electric Kettle,2,BoldLabs,45.53,118.35,2025-07-02,Active
53,AeroCraft Rice Cooker,2,AeroCraft,69.22,80.4,2025-03-19,Active
54,EcoWorks Coffee Maker,2,EcoWorks,29.86,38.2,2022-10-12,Active
55,NimbusPro Food Storage Set,2,NimbusPro,44.17,72.53,2024-04-03,Active
56,AeroFit Blender,2,AeroFit,18.01,32.35,2023-02-17,Active
57,HomeFit Toaster Oven,2,HomeFit,20.87,30.75,2025-05-18,Clearance
58,HomeTech Coffee Maker,2,,16.32,27.51,2023-05-28,Active
59,CrispCraft Cutting Board,2,CrispCraft,40.13,61.74,2022-07-25,Active
60,PrimeWorks Air Fryer,2,PrimeWorks,10.81,34.61,2022-06-26,Active
61,SwiftCo Rice Cooker,2,SwiftCo,21.4,27.31,2023-11-06,Active
62,EcoPro Air Fryer,2,EcoPro,112.66,131.1,2022-07-21,Active
63,CrispGear Coffee Maker,2,CrispGear,65.06,105.21,2023-12-13,Active
64,NimbusCo Cutting Board,2,NimbusCo,21.65,31.82,2025-04-22,Active
65,NimbusStyle Food Storage Set,2,NimbusStyle,31.34,49.84,2023-02-23,Active
66,ZenPro Stand Mixer,2,ZenPro,35.94,58.86,2022-05-14,Active
67,PrimeCraft Toaster Oven,2,PrimeCraft,29.55,44.96,2025-09-27,Active
68,PrimeFit Blender,2,PrimeFit,79.4,136.87,2023-08-16,Active
69,CrispFit Vacuum Cleaner,2,CrispFit,68.3,114.35,2021-10-22,Active
70,VitalWorks Toaster Oven,2,VitalWorks,57.01,77.7,2021-08-14,Active
71,NovaTech Electric Kettle,2,NovaTech,74.98,116.87,2021-11-21,Active
72,PeakCo Stand Mixer,2,PeakCo,51.6,91.76,2024-02-19,Active
73,PeakTech Rice Cooker,2,PeakTech,49.2,104.99,2024-11-05,Active
74,NimbusGear Cutting Board,2,NimbusGear,87.97,136.17,2023-03-31,Active
75,NovaPro Toaster Oven,2,NovaPro,17.38,33.98,2021-09-09,Active
76,PureWorks Vacuum Cleaner,2,PureWorks,40.9,63.77,2023-01-26,Active
77,VitalWorks Coffee Maker,2,VitalWorks,76.79,132.61,2025-09-24,Active
78,PureLabs Stand Mixer,2,PureLabs,44.56,81.26,2023-09-16,Active
79,SmartLabs Knife Set,2,SmartLabs,77.75,125.03,2025-08-16,Active
80,PrimeStyle Cookware Set,2,PrimeStyle,29.35,43.92,2025-02-22,Active
81,AeroGear Toaster Oven,2,AeroGear,23.46,49.68,2021-06-19,Active
